Title,Op. 1,Op. 2,Op. 3 i,Op. 3 ii,Op. 3 iii,Op. 3 iv,Op. 3 v,Op. 4 i,Op. 4 ii,Op. 4 iii,Op. 4 iv,Op. 4 v,Op. 5 i,Op. 5 ii,Op. 5 iii,Op. 5 iv,Op. 5 v,Op. 6 i,Op. 6 ii,Op. 6 iii,Op. 6 iv,Op. 6 v,Op. 6 vi,Op. 7 i,Op. 7 ii,Op. 7 iii,Op. 7 iv,Op. 8 i,Op. 8 ii,Op. 9 i,Op. 9 ii,Op. 9 iii,Op. 9 iv,Op. 9 v,Op. 9 vi,Op. 10 i,Op. 10 ii,Op. 10 iii,Op. 10 iv,Op. 10 v,Op. 11 i,Op. 11 ii,Op. 11 iii,Op. 12 i,Op. 12 ii,Op. 12 iii,Op. 12 iv,Op. 13 i,Op. 13 ii,Op. 13 iii,Op. 13 iv,Op. 14 i,Op. 14 ii,Op. 14 iii,Op. 14 iv,Op. 14 v,Op. 14 vi,Op. 15 i,Op. 15 ii,Op. 15 iii,Op. 15 iv,Op. 15 v,Op. 16 i,Op. 16 ii,Op. 16 iii,Op. 16 iv,Op. 16 v,Op. 17 i,Op. 17 ii,Op. 17 iii,Op. 18 i,Op. 18 ii,Op. 18 iii,Op. 19 i,Op. 19 ii,Op. 20 i,Op. 20 ii,Op. 21 i,Op. 21 ii,Op. 22 i,Op. 22 ii,Op. 23 i,Op. 23 ii,Op. 23 iii,Op. 24 i,Op. 24 ii,Op. 24 iii,Op. 25 i,Op. 25 ii,Op. 25 iii,Op. 26,Op. 27 i,Op. 27 ii,Op. 27 iii,Op. 28 i,Op. 28 ii,Op. 28 iii,Op. 29 i,Op. 29 ii,Op. 29 iii,Op. 30,Op. 31 i,Op. 31 ii,Op. 31 iii,Op. 31 iv,Op. 31 v,Op. 31 vi
0,5.99448463685838,7.908017154960790,3.1910650179497400,5.812867971968790,6.949352179034160,8.479105928085520,6.882440476190480,5.770111433368920,10.108312955005600,7.752113526570050,8.549922799794130,7.347240169835700,7.954994078168240,11.627906976744200,7.6650452408274500,15.392061955469500,15.882784479947800,3.5301953818827700,11.23245347715830,7.197382769901850,10.058977719528100,6.944936933286050,5.508771929824570,5.4360135900339700,11.787092261524200,13.578274760383400,6.20765533615149,10.700962104849800,11.590134349308200,9.222869225218570,13.475560356467700,7.04032809295968,5.009276437847870,8.925619834710740,11.789772727272700,8.40108401084011,9.397715472481830,12.561640280301100,10.852713178294600,9.036742800397250,6.467661691542290,6.101694915254240,12.996389891696800,7.721459024159170,6.393237692719800,8.020357504810290,9.957789716039910,11.809937763136400,6.397417556215820,7.675337806783690,6.37524815522343,9.508642983530680,7.825036249395860,8.946256391903690,10.601149456595800,9.37146171601559,9.008349201699140,7.3532398943733500,7.226809130645960,7.9428381522100300,7.6190476190476200,8.184218245819890,3.7426900584795200,10.368663594470000,7.569141193595340,12.855782456882900,9.526620233738630,5.263696876600100,6.566431420681190,6.827061484680240,7.7663230240549900,8.818651838844990,8.756665050896740,7.854785478547830,7.6440387906446100,13.096062524732800,7.2999225361067700,14.069456812110500,8.38274185099324,7.878787878787980,6.542501164305020,7.637705848949460,8.40759106670146,8.169057298458220,6.947937924161160,8.524904214559390,9.59199909080581,8.36820083682008,8.36104513064131,7.609140797772130,8.919549256329700,8.576642335766420,12.048192771084300,8.100241724631240,8.564919510193130,7.332472581263070,7.613361953313670,13.025028486110500,9.744801218488730,8.590749075353120,8.467616956368100,8.988116449841960,7.969924812030040,8.400236465226280,8.160237388724040,8.585485854858570,5.626598465473130
1,9.956938582002840,4.532162000838750,7.424212205823690,8.43425982399583,8.568904593639580,6.2682215743440200,9.933035714285710,9.738971149442780,12.185148991681900,7.555857487922710,6.204966546577460,8.5840871330995,10.254979103421100,6.440071556350630,20.791892193799400,7.8412391093901200,16.824258232800800,7.326820603907630,12.58527699396360,7.415485278080700,7.175622542594990,11.397598905830500,13.298245614035100,9.626274065685160,9.937327618718110,7.507987220447290,13.066767039203200,9.522874533673660,7.051667669273430,12.498531657465100,5.644072373751010,9.022556390977460,6.864564007421150,4.958677685950410,7.670454545454540,7.046070460704610,6.593977154724820,12.302102257980800,3.1007751937984500,8.738828202581960,6.965174129353230,9.604519774011310,5.415162454873650,8.242539081004270,9.179117804631230,8.146306713863950,7.04144282425173,12.6912654456067,6.003081324969720,9.858442871587440,9.104643468055080,9.501565264733900,7.6033970862390500,9.152036118127180,9.369977936970560,10.393665751596100,10.268053317709100,9.516554946171030,9.587178241865,10.103024260551700,6.904761904761900,9.328248753300090,4.444444444444440,11.520737327188900,7.714701601164480,7.26907205586711,7.313186164561440,6.646185355862780,8.92911936176741,11.865103845363000,6.9415807560137600,7.735830650668230,8.66698982064953,7.106710671067090,6.674272675413580,9.620542584531470,8.001381789648140,7.123775601068600,8.747890584074870,7.121212121212210,9.93165299045022,8.390119250425900,8.7804332426084,8.161386822121640,6.471770047300390,7.567049808429120,7.819070348903310,8.36820083682008,9.358669833729200,6.802358915554100,8.46492638988758,9.48905109489051,8.433734939759040,10.404025455083600,7.967508645934690,7.836154424596730,7.532868258653080,9.877804408471160,7.338907711914480,8.824473062697710,9.553045464226270,3.7674562478584200,9.022556390977410,6.722096149812170,10.16320474777450,10.701107011070100,10.997442455242900
2,12.996666847641000,13.36561756714700,13.158157159952100,8.7479306438965,6.095406360424030,5.247813411078720,12.16517857142860,9.98320867043194,9.912166679914540,6.106582125603870,4.747812660833760,10.337825364592900,7.246756605905540,5.366726296958860,4.45299726828675,6.4278799612778300,3.2156830779263100,6.505328596802830,4.473693610029650,5.888767720828790,5.209698558322390,7.674383263259210,8.631578947368430,5.4360135900339700,7.253793596952000,2.5878594249201300,9.598123805663330,8.933830748085600,2.539937169975270,4.430199191153030,8.236564947339990,8.671679197995,6.122448979591840,3.9669421487603300,7.670454545454540,5.555555555555560,13.94080996884740,11.757072411108200,3.8242894056847600,12.545514730221800,14.17910447761190,9.717514124293800,7.581227436823110,6.963524396020850,9.941067920709560,6.950707225004760,8.736249680225130,10.59344548366750,8.926671802208260,6.802095780862190,10.298701893263100,8.849870695521970,8.804621510276430,7.951769086241650,9.010432271947270,8.26940419767114,7.2945656950344200,6.591509242331910,8.683827100534250,6.214689265536720,7.38095238095238,10.648283954238800,12.046783625731000,13.824884792626700,7.423580786026200,8.856205692519320,10.465116279069800,8.581669226830520,6.566431420681190,9.705942833641790,7.285223367697610,8.15530192176373,8.467038293746960,6.974697469746950,7.9292641186537400,6.447313459086290,7.126654874519290,10.685663401602900,8.235286653990560,8.636363636363750,9.333822604518590,8.082528866174520,8.698407963908870,8.358262381427200,8.53621881574992,6.0344827586206900,6.6030230708035200,8.577405857740580,7.268408551068870,8.46916209353755,6.19618798016878,8.75912408759124,8.433734939759040,9.910709881110940,8.290351121649170,7.892907308352640,8.601645648868630,8.07826804447761,7.817599701594630,8.49338264783206,8.294951711140170,10.552505990636600,6.616541353383430,8.842655275653630,10.830860534124600,6.666666666666680,5.882352941176450
3,7.187132298473030,6.167382771738910,9.737734343837260,9.235863030408660,12.102473498233200,6.195335276967930,10.751488095238100,8.884139825980710,8.638618606543210,13.54921497584540,4.979413278435410,5.039689865239060,7.120492260778470,11.091234347048300,8.36290150599659,4.878993223620520,5.335017932833390,9.01420959147423,3.8700575061613700,6.543075245365320,10.419397116644800,5.268223494250540,7.087719298245620,17.440543601359,10.705555848043400,8.338658146964860,11.23400312699060,13.587276654231300,8.208007486130590,6.608380460136600,12.314339724547700,3.978127136021880,4.452690166975880,6.942148760330580,6.8181818181818200,7.046070460704610,4.932502596054000,3.9449779392681100,3.30749354005168,6.454816285998040,5.970149253731340,6.327683615819220,11.552346570397100,7.01089531027949,10.744687183760900,8.942761041669710,10.239191609107200,6.443948370389730,12.29778804886100,6.7423476422465100,7.679597790846240,7.9994555600925500,6.591912357016290,8.927674276157760,8.94506033285213,7.393995494833360,7.821883697085100,9.719683120048740,5.11898980087422,7.411100033233630,9.047619047619050,5.720152537401000,12.280701754385900,11.520737327188900,9.752547307132460,8.1261242196593,9.048518474796360,8.63287250384025,9.082540656643140,9.603125642607450,8.659793814433,7.6480343381133500,8.414929714008710,9.570957095709550,7.986309184255560,8.231653695642590,10.01319459491770,10.329474621549500,7.266903875887520,11.060606060606200,8.27749025619718,9.937535491198190,7.448143867367610,7.634680780343110,8.306835619255530,5.6513409961685800,9.160131833162890,5.857740585774060,8.551068883610430,10.119583913506400,6.717987170268310,7.846715328467150,2.4096385542168700,9.78244783187805,7.691417415524150,9.222343610334730,7.707271263751010,7.359239322619920,8.168847719996300,7.213582282429450,7.197587817667170,8.624794865931500,6.766917293233060,8.798794790137130,13.427299703264100,8.413284132841350,9.462915601023000
4,7.947557401395240,8.937306911022180,13.088352612684500,11.554786591817200,9.982332155477030,6.229348882410110,14.880952380952400,14.638986414287800,6.047103160316280,6.333031400966180,12.680133813690200,4.984308657928740,10.35810065752760,10.37567084078710,8.313141673352110,14.617618586640800,7.971959569612,9.058614564831240,4.707647247919420,11.777535441657600,7.83093053735252,7.861810445266200,4.947368421052630,8.607021517553790,7.435804592822910,7.028753993610220,4.887370432567030,6.518751227174550,8.94325245638659,5.648503968720110,10.369970294355900,6.106174527227170,11.873840445269000,13.884297520661200,8.948863636363640,1.8970189701897000,5.482866043613710,28.445367246301600,5.116279069767440,7.348560079443920,10.281923714759500,8.135593220338990,7.2202166064981900,6.631927996210330,6.381332222156080,9.185846687131860,6.926323867996930,5.101647018685040,7.217270092806560,9.568894199834520,7.471084974175210,7.000408329930580,9.552164606780380,8.912533292957370,7.675755182088090,6.9210324538856100,6.899077193496410,8.175908998578100,10.655658086449800,9.238949817215010,9.404761904761900,7.626870049868000,9.824561403508750,10.368663594470000,7.132459970887920,6.993968892180730,5.8906858694369,10.220174091141800,9.542804541270330,6.991568990335190,8.591065292096230,7.560238025558480,8.579738245273860,9.812981298129780,6.332002281802630,8.530921602251210,9.070021690762560,6.500445235975100,7.621267625291630,6.818181818181900,9.420419808823730,8.868067385954950,6.545865801672820,9.21991255656974,7.2137060414788100,7.2796934865900400,7.375838163427690,8.15899581589958,9.643705463182880,9.11213039560979,6.73158801044543,8.75912408759124,8.433734939759040,7.4342656997681400,8.006645681905740,8.399426795874100,8.163402200161000,9.009469176063790,8.025861801000930,8.118176551847030,7.339778788596290,7.058096460376110,10.375939849624000,8.407864375750890,6.824925816023740,10.504305043050500,6.393861892583100
5,9.4030766749754,1.1174000710910700,5.7838053450339100,11.249828850247100,9.393404004711420,8.415937803692910,10.23065476190480,10.715921233399400,8.058128498019850,11.918780193236700,11.300180133813700,4.227432158021040,7.5043903235907300,11.985688729874800,4.466808160612560,7.9380445304937100,8.656667753505050,8.570159857904070,7.328463763974710,8.287895310796070,13.695937090432500,10.835317359809500,16.49122807017550,9.286523216308040,6.372426301126110,8.785942492012780,5.02634779083908,7.79501276261535,5.621281999866310,6.3868705005789500,8.641641911963270,6.561859193438150,6.679035250463820,8.595041322314050,4.261363636363640,7.994579945799460,5.015576323987540,7.526602647287830,8.010335917312660,7.745779543197640,7.960199004975130,8.361581920903960,11.913357400722000,10.090004737091400,9.845824156199770,9.573608683518630,7.31005372217959,7.108509713061620,7.532739077803440,8.350951374207170,10.075206119705500,9.005036069143860,6.710856406361500,9.23737620525666,7.354343148203640,6.427212159977120,6.855134026658850,7.769652650822660,10.1019912578922,10.069790628115600,5.238095238095240,11.058961572308600,4.912280701754380,5.760368663594470,8.588064046579330,6.179240292032600,5.9674182505017100,8.05939580133129,8.714329548941390,5.798889574336830,11.61512027491410,9.618573797678270,8.12045564711584,9.570957095709550,8.214489446662860,8.739777074264580,8.137287487121490,5.966162065894960,8.697953390744520,6.818181818181900,7.910183198072160,7.216543630512970,8.385220536147050,6.882974099358220,8.73238099757961,11.11111111111110,8.455506307534980,8.786610878661090,8.693586698337270,5.749856663117370,8.436660295954270,8.94160583941606,8.433734939759040,7.994178876227120,7.9368995244164800,8.19937288063453,8.80511582148288,6.263015205689350,10.655559354698400,8.330511118042840,10.006961936456500,9.482158405777320,12.1804511278195,8.360189934972080,5.192878338278930,8.757687576875790,12.020460358056200
6,8.297919330183080,14.641508898021400,5.110690067810130,8.713078330574200,7.567726737338040,9.353741496598640,4.315476190476190,6.014348954358090,8.783565794333980,7.125603864734300,8.672156459083890,6.7011260845486400,8.77996651102012,8.586762075134170,5.2312816711179800,15.430784123910900,6.125692859471800,14.742451154529300,11.828945958495600,13.958560523446000,5.8322411533420500,7.481890481738510,13.684210526315800,6.115515288788220,5.2727317658612200,7.987220447284350,5.202964850309810,8.874926369526800,11.770603569280100,12.310583812991900,5.617067242776130,12.882205513784500,16.69758812615960,9.917355371900820,10.227272727272700,2.710027100271000,11.318795430945000,1.0900596937451300,10.077519379845000,7.348560079443920,7.213930348258710,8.587570621468930,11.55234657039710,11.274277593557600,8.268349306506340,8.279599900121890,7.58506011767716,8.987955328166260,9.38336818165142,5.538192848607400,6.632871775022580,10.567578603511600,8.02964395037862,8.450733305345450,10.105412251790900,8.097580161375550,6.869781748938040,6.957139955311800,7.333657115104430,9.538052509139240,8.809523809523810,8.536227632736870,6.666666666666650,5.069124423963130,9.170305676855890,7.5653370013755200,8.529099279896110,6.062467997951870,9.512120282295180,8.163684968126680,8.865979381443310,9.686859818554290,9.495879786718360,8.2288228822882,8.442669709070170,8.54191399551507,8.368585517476650,12.021371326803300,11.584703811721400,9.090909090909200,6.908911110242790,8.446905167518460,6.992033605508120,9.33241287617292,10.357046809991600,9.003831417624520,8.375951812706020,9.832635983263590,7.790973871733950,9.69366860512736,9.355840555576560,8.75912408759124,12.048192771084300,8.115041191850420,7.971772603161110,9.341524666222140,9.290313925409180,7.3631684413186,7.587578875384690,8.561784234214130,8.891810228409820,6.30736679200623,7.218045112781920,8.320143404717870,7.34421364985163,7.847478474784770,6.905370843989750
7,5.851755102174560,9.303082677490000,4.4625049860390900,6.438964886294340,3.7396937573616000,10.724003887269200,4.836309523809520,6.96076934819108,7.8639694021162400,8.235205314009660,9.228641276376740,10.485508584087100,10.065752753311500,6.976744186046510,9.09000436667921,4.007744433688290,6.920443430061950,6.571936056838360,9.658177661892350,1.6357688113413300,9.108781127129710,8.267058406362390,7.894736842105270,4.0770101925254800,7.405290352665090,5.750798722044730,8.445769876657600,6.224229334380520,9.484660116302380,12.975113691664800,5.860113421550090,15.105946684894100,13.358070500927600,8.099173553719010,12.500000000000000,8.401084010840110,9.143302180685360,1.0900596937451300,2.5839793281653700,11.02284011916590,7.79436152570481,9.03954802259888,8.664259927797830,7.247749881572720,6.964700279778560,7.896244290057710,7.853671015605020,6.777574873701530,5.647261655845330,12.317308576155900,8.03128108443312,9.105757452021230,9.811503141614330,6.6606561551537800,8.329474573039530,9.313061407725530,5.068111908598210,8.886857607150110,7.576493443419150,5.882352941176470,10.000000000000000,7.216192431798180,4.912280701754380,7.603686635944700,6.550218340611350,7.9039255105279900,11.025852909928000,8.909370199692780,6.474378643755750,9.253547193090690,10.446735395189000,8.23334308847917,7.872031022782350,7.480748074807460,9.75470621791215,8.673822714681410,8.599933017358650,5.78806767586824,8.952624013717810,9.090909090909200,8.53484068883385,7.453151618398640,8.421261946484720,10.889519572498800,9.346178792337020,7.950191570881230,7.9327196272303900,7.531380753138070,8.598574821852710,10.135965271521000,7.507072436892080,7.846715328467150,8.433734939759040,8.827882196240930,7.849792969648230,8.10289297824949,7.3517574456667600,8.23936191112332,7.659071834882370,8.592531527115520,7.878157634541910,6.711892773614460,6.917293233082680,8.960887888785080,8.234421364985160,8.142681426814290,10.485933503836300
8,5.720852283368000,6.98787309495078,12.789190267251700,10.359850135052700,8.74558303886926,11.85617103984450,3.7574404761904800,6.319645855594530,9.964417803255250,8.257850241545890,12.255532681420500,13.291489754476600,9.452468791265710,3.9355992844364900,7.654687071583090,2.0329138431752200,8.876752526899250,7.260213143872100,8.80630067507233,17.230098146128700,11.074705111402300,9.209259915911050,1.052631578947370,6.3420158550396400,5.80780541369895,6.23003194888179,15.409114598413400,4.300019634792850,7.619811509925800,6.183819704317770,4.563867134755600,4.18318523581682,6.122448979591840,9.58677685950413,13.352272727272700,23.577235772357700,8.18276220145379,6.540358162470810,7.751937984496130,6.090698444223790,8.7893864013267,8.361581920903960,1.4440433212996400,9.047844623401230,7.155187808798140,9.688174727905630,8.659503709388600,8.537154051268850,5.42533289314404,9.858442871587430,8.95897583165815,8.618483734857760,8.623213422633450,8.161678171519800,5.6710157165036900,8.914588555923260,7.983008642156150,7.383709120455000,6.721709567751350,7.544034562977730,8.095238095238100,7.92021120563215,5.614035087719290,5.529953917050690,9.461426491994180,5.4914823828166400,8.092314956911810,12.647209421403000,5.523166615526230,8.472136541229700,6.185567010309290,8.321139401034040,8.919049927290340,9.614961496149590,8.442669709070170,5.987006991162100,8.930347047402930,11.48708815672310,8.461771311218400,7.57575757575767,8.165014815721560,9.298693923906880,8.130445049277300,8.636956354989620,8.207172575261420,8.333333333333330,8.012274122059350,9.832635983263600,8.741092636579560,7.4330411991154000,6.705923816372090,8.75912408759124,6.626506024096390,8.107641458240830,9.383447013478660,8.406520906343580,8.69331902334318,8.32580252249419,7.230114077896270,8.638652466467590,8.62360984362191,7.396753236401530,8.270676691729290,9.248841511089090,5.267062314540060,8.683886838868410,5.882352941176460
9,11.311127885325000,8.659673020545810,2.991623454327880,8.853732309339190,9.305064782096590,5.7337220602526700,7.142857142857140,3.7246221950847000,7.038354896175750,7.586050724637680,6.436567164179110,9.193280413513010,6.970744789468720,12.522361359570700,6.8812771013374400,0.9099709583736690,2.4005542875774400,5.417406749555940,5.864914097939070,14.394765539803700,5.996068152031430,10.835317359809500,4.666666666666670,12.910532276330700,11.538895448973000,12.01277955271570,5.252185998031160,8.187708619674060,7.933961633580630,7.346746991995440,6.6972724817715400,9.851902483481440,5.565862708719850,4.628099173553720,6.534090909090910,8.94308943089431,6.936656282450680,6.228912535686480,20.36175710594320,9.831181727904700,9.45273631840796,7.4576271186440800,1.083032490974730,9.947891994315490,10.113697243883600,7.843000455326570,9.132770529547200,8.267533219327960,9.055060342613970,7.238716793822940,7.514785265094280,6.569756363141410,9.081681971967150,8.35025223501558,6.49633644757988,7.253953939239850,11.806064157023600,9.7501523461304,7.7901894123361,8.607510800930530,8.809523809523810,7.568201818715160,11.228070175438600,7.603686635944700,9.752547307132460,7.586498783197550,5.908393341990320,11.459293394777300,10.125805461798100,9.232983754883820,7.422680412371150,7.667544629792210,8.248909355307800,8.008800880087980,9.184255561893900,7.610308666402830,7.952554148938720,8.281389136242250,7.576133828052940,6.212121212121290,6.46988683361066,8.158243422297940,10.166163329729200,8.00286364449897,8.180279372913800,11.015325670498100,8.796454142516230,8.158995815899580,6.983372921615190,8.903268080923900,11.44504787495740,8.02919708029197,9.63855421686747,5.789058260569280,9.162178090264930,8.22207403413689,9.690546462749310,6.455542021924470,7.640421497622100,7.330555679336900,9.188625793164010,10.33822675541950,8.421052631578910,6.842235740574770,8.679525222551930,8.31488314883151,8.695652173913020
10,11.738005094728600,9.416844164200660,15.157558835261300,4.768543297775680,7.832744405182570,9.970845481049560,9.48660714285714,6.899709967943790,4.218547629178340,6.672705314009660,2.560473494595990,10.430127376776800,6.532393100725650,3.041144901610020,8.396007027307000,3.581800580832530,9.867134007173130,13.876554174067500,9.090259670679000,1.6357688113413300,7.011795543905610,8.115090420951320,8.421052631578950,7.7010192525481300,7.766303898194170,11.884984025559100,4.893161155828370,6.81327311996858,9.130405721542660,8.568407981070970,7.345395625168780,10.740487582592900,12.244897959183700,5.950413223140500,4.119318181818180,8.401084010840110,5.763239875389410,6.851803789255130,15.193798449612400,8.308507116848760,5.970149253731340,13.559322033898300,11.191335740072200,7.10563713879678,8.345734865170550,6.994036690510100,9.574059861857260,8.25054427542503,10.625068779575200,7.560437540215070,8.657651920939920,5.602286647611270,7.69941770811758,7.430781618846380,8.081605970637110,10.762541168244500,11.776768712465200,9.089985781027820,9.810587663914550,7.477567298105680,12.380952380952400,8.096215899090640,15.087719298245600,5.069124423963130,7.423580786026200,8.284837583324520,8.369732026915350,7.322068612391200,10.217858238723500,7.30002056343821,7.835051546391760,7.989464442493410,7.398206495395050,7.832783278327810,10.724472333143200,7.39678142725232,9.158443946428470,4.185218165627810,6.22384188307629,9.696969696969820,9.018453166387720,8.513155404126450,9.906416613847360,7.414793792027800,9.615110815813200,8.908045977011500,8.910103420843310,7.949790794979080,7.695961995249390,8.035056106151200,11.232046890966200,7.846715328467150,6.626506024096390,7.547728281781850,7.605681418435820,8.434897348221540,7.398712100885440,7.716789124199430,8.044512138261190,9.14330912169686,7.403002868656920,11.919739103519500,7.669172932330790,8.169492171856840,8.753709198813060,5.854858548585500,7.16112531969308
11,3.5944838628742100,8.96313166799291,7.105105704028720,5.830294128629940,9.717314487632510,11.525753158406200,5.617559523809520,10.349564951915700,7.1816655834592,8.907004830917880,12.38419969119920,9.377884437880740,7.758961024817290,8.050089445438280,8.693956719100690,16.940948693126800,7.923051842191070,8.126110124333910,10.55380933671470,4.034896401308620,6.585845347313210,6.10911301352515,8.315789473684210,7.021517553793880,8.716972901420730,8.30670926517572,10.776535989345100,8.541134891026890,10.106276318427900,7.81997281468678,11.234134485552300,5.855547960811130,5.009276437847870,14.545454545454500,6.107954545454550,10.027100271002700,13.291796469366600,1.6610433428497300,9.819121447028430,5.527970870572680,8.955223880597010,4.745762711864410,9.386281588447650,8.716248223590720,6.667063515685460,8.479356080078710,6.983883346124330,5.430484457563290,11.488940244305000,8.488831694089510,9.19995172158336,7.671158295903080,9.666551589219560,7.8182531434745700,8.35943671179147,6.881502993512400,8.349201699135790,8.80560633759902,9.392909179213230,9.970089730807570,6.3095238095238100,8.096215899090640,9.239766081871330,5.760368663594470,9.461426491994180,12.887525129615900,9.863062212253570,6.195596518177170,8.745013807916540,6.785934608266500,8.384879725085920,8.5650180470198,7.060106640814340,7.942794279427920,8.670849971477470,7.1238952644769600,7.341673349318240,3.561887800534310,8.248881171231130,10.000000000000100,9.486823362837170,7.997349990535680,8.118016976747070,7.297179821533570,8.085362188157500,8.620689655172420,8.96692806000685,8.57740585774058,8.313539192399030,7.9367679580637200,8.287169322181410,6.386861313868610,8.433734939759040,7.98677914261753,9.569386005387810,8.609412465770950,9.151685895715950,8.28651133550743,10.086724068260300,8.162292232966420,7.154850957151000,8.852892918616840,8.571428571428530,8.926562291424330,7.121661721068250,7.527675276752780,10.485933503836300
Range,9.402182984766820,13.524108826930400,12.165935380933400,6.786243294041510,8.362779740871610,6.608357628765790,11.123511904761900,10.914364219203100,7.966601362503580,7.442632850241550,10.119660319094200,9.064057596455600,3.825707556801970,9.481216457960640,16.338894925512600,16.030977734753100,14.423703945223300,11.212255772646500,8.715219487802270,15.594329334787300,8.486238532110070,6.12937541157996,15.438596491228100,13.363533408833500,6.51436049566299,10.99041533546330,10.521744165846300,9.287257019438440,9.23066639930485,8.54491450051182,8.911693221712120,11.127819548872200,12.244897959183700,10.578512396694200,9.232954545454550,21.680216802168000,9.008307372793350,27.355307552556500,17.777777777777800,7.017543859649150,8.208955223880600,8.813559322033900,11.913357400722000,4.642349597347230,4.363354961604860,2.737467502900870,3.312867741110260,7.589618426921660,6.87245515571694,6.779115727548470,3.923453738039640,4.965291955900360,3.219590784598040,2.5767200501028900,4.930133740092070,4.335329008267420,6.737952248425370,3.158643103798490,5.536668285575530,4.2206713193752,7.142857142857140,5.338809034907600,11.345029239766100,8.755760368663590,3.202328966521110,7.396042746799290,5.135167040491080,7.383512544802870,4.6946916231973,6.066214271026120,5.429553264604820,2.1266217929958000,2.4357731459040200,2.838283828382830,4.392470051340560,7.109055533570740,2.8865397203983900,10.507569011576200,5.360861928645120,4.848484848484910,3.461766156839560,2.720991860685220,3.620297528056370,4.006545473140550,3.8852767626912200,5.459770114942530,2.988976020002290,3.97489539748954,2.660332541567690,4.386108608403630,5.248859894788610,3.102189781021900,9.63855421686747,4.61496719451433,1.9637045869519800,2.0090520849590700,2.3387890170825500,6.762013280421190,3.4254452768021000,1.9297268392674100,2.852110979305460,8.152282855661110,5.5639097744360700,2.526745361276920,8.234421364985160,4.8462484624846400,6.393861892583110
